t,v_mps,v_kph,acc_mps2,P_req_shaft_W,P_brake_avail_shaft_W,P_engine_mech_W,P_motor_mech_W,P_batt_W,SOC,engine_on,fuel_total_L
231.0,7.1759259259259265,25.833333333333336,0.23148148148148184,3708.914091796297,0.0,0.0,3708.914091796297,4031.4283606481486,0.49980877450305633,False,0.0
232.0,7.407407407407407,26.666666666666668,0.23148148148148096,3837.9059014731256,0.0,0.0,3837.9059014731256,4171.63684942731,0.49818240536097935,False,0.0
233.0,7.638888888888888,27.5,0.23148148148148096,3967.788132066049,0.0,0.0,3967.788132066049,4312.813187028314,0.49650099671106585,False,0.0
234.0,7.870370370370371,28.333333333333336,0.23148148148148273,4098.588609228709,0.0,0.0,4098.588609228709,4454.987618726857,0.4947641594328097,False,0.0
235.0,8.101851851851851,29.166666666666664,0.23148148148148007,4230.335158614653,0.0,0.0,4230.335158614653,4598.190389798536,0.49297149261417483,False,0.0
236.0,8.333333333333334,30.000000000000004,0.23148148148148273,4363.055605877633,0.0,0.0,4363.055605877633,4742.451745519166,0.49112258355159427,False,0.0
237.0,8.564814814814815,30.833333333333336,0.23148148148148096,4496.7777766711515,0.0,0.0,4496.7777766711515,4887.801931164295,0.4892170077499708,False,0.0
238.0,8.796296296296296,31.666666666666664,0.23148148148148096,4631.5294966489155,0.0,0.0,4631.5294966489155,5034.271192009691,0.4872543289226766,False,0.0
239.0,9.027777777777777,32.5,0.23148148148148096,4767.338591464531,0.0,0.0,4767.338591464531,5181.889773331012,0.4852340989915534,False,0.0
240.0,9.25925925925926,33.333333333333336,0.23148148148148273,4904.232886771652,0.0,0.0,4904.232886771652,5330.68792040397,0.48315585808691247,False,0.0
241.0,9.490740740740742,34.16666666666667,0.23148148148148273,5042.240208223855,0.0,0.0,5042.240208223855,5480.69587850419,0.4810191345475346,False,0.0
242.0,9.722222222222221,35.0,0.23148148148147918,5181.388381474737,0.0,0.0,5181.388381474737,5631.943892907322,0.47882344492067014,False,0.0
243.0,9.953703703703704,35.833333333333336,0.23148148148148273,5321.705232178089,0.0,0.0,5321.705232178089,5784.462208889227,0.4765682939620389,False,0.0
244.0,10.185185185185187,36.66666666666667,0.23148148148148273,5463.218585987377,0.0,0.0,5463.218585987377,5938.28107172541,0.47425317463583017,False,0.0
245.0,10.416666666666666,37.5,0.23148148148147918,5605.956268556222,0.0,0.0,5605.956268556222,6093.430726691546,0.47187756811470283,False,0.0
246.0,10.648148148148149,38.333333333333336,0.23148148148148273,5749.94610553843,0.0,0.0,5749.94610553843,6249.941419063511,0.4694409437797853,False,0.0
247.0,10.879629629629632,39.16666666666667,0.23148148148148273,5895.215922587453,0.0,0.0,5895.215922587453,6407.843394116797,0.4669427592206754,False,0.0
248.0,11.11111111111111,40.0,0.23148148148147918,6041.793545356911,0.0,0.0,6041.793545356911,6567.1668971270765,0.4643824602354407,False,0.0
249.0,11.342592592592593,40.833333333333336,0.23148148148148273,6189.706799500623,0.0,0.0,6189.706799500623,6727.942173370242,0.461759480830618,False,0.0
250.0,11.574074074074074,41.66666666666667,0.23148148148148096,6338.983510671996,0.0,0.0,6338.983510671996,6890.199468121734,0.45907324322121384,False,0.0
251.0,11.805555555555555,42.5,0.23148148148148096,6489.6515045247825,0.0,0.0,6489.6515045247825,7053.969026657372,0.45632315783070415,False,0.0
252.0,12.037037037037038,43.333333333333336,0.23148148148148273,6641.738606712614,0.0,0.0,6641.738606712614,7219.28109425284,0.4535086232910345,False,0.0
253.0,12.268518518518519,44.16666666666667,0.23148148148148096,6795.272642889017,0.0,0.0,6795.272642889017,7386.165916183714,0.45062902644261976,False,0.0
254.0,12.5,45.0,0.23148148148148096,6950.281438707719,0.0,0.0,6950.281438707719,7554.653737725781,0.4476837423343446,False,0.0
255.0,12.731481481481481,45.833333333333336,0.23148148148148096,7106.792819822316,0.0,0.0,7106.792819822316,7724.774804154691,0.44467213422356305,False,0.0
256.0,12.962962962962964,46.66666666666667,0.23148148148148273,7264.83461188647,0.0,0.0,7264.83461188647,7896.559360746163,0.44159355357609864,False,0.0
257.0,13.194444444444445,47.5,0.23148148148148096,7424.434640553699,0.0,0.0,7424.434640553699,8070.037652775759,0.4384473400662446,False,0.0
258.0,13.425925925925926,48.333333333333336,0.23148148148148096,7585.620731477741,0.0,0.0,7585.620731477741,8245.239925519283,0.4352328215767634,False,0.0
259.0,13.657407407407408,49.16666666666667,0.23148148148148273,7748.420710312229,0.0,0.0,7748.420710312229,8422.196424252423,0.4319493141988872,False,0.0
260.0,13.88888888888889,50.0,0.23148148148148096,7912.862402710671,0.0,0.0,7912.862402710671,8600.937394250728,0.4285961222323177,False,0.0
